antibody,source,reactivity,WT RBD ELISA,BA.5 RBD ELISA,XBB.1.5 RBD ELISA,JN.1 RBD ELISA,VH gene,DH gene,JH gene,H isotype,VL gene,JL gene,VH SHM (nt),VL SHM (nt),VH SHM ratio,VL SHM ratio,D614G,BA.1,BA.2,BA.5,XBB.1.5,HK.3.1,BA.2.86,JN.1,JN.1+F456L,KP.2,JN.1+F456L+A475V,KP.3,KP.3+A475V,epitope group
BD57-3002,BA.5 + XBB infection,specific,2.96,4.0,3.97,N.D.,IGHV3-74,IGHD2-21,IGHJ3,IGHG1,IGLV6-57,IGLJ3,13.0,5.0,0.0349,0.0151,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3003,BA.5 + XBB infection,specific,0.92,4.52,4.23,N.D.,IGHV3-66,IGHD6-25,IGHJ1,IGHG1,IGLV6-57,IGLJ2,9.0,4.0,0.0254,0.0121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3004,BA.5 + XBB infection,specific,3.36,N.D.,4.13,N.D.,IGHV3-7,IGHD6-13,IGHJ4,IGHG1,IGLV6-57,IGLJ3,11.0,3.0,0.0305,0.0089,inf,inf,inf,inf,inf,inf,0.1627,0.1477,0.3187,0.3166,0.5961,0.1234,0.129,F1.2
BD57-3005,BA.5 + XBB infection,cross,5.96,N.D.,4.35,N.D.,IGHV3-15,IGHD3-9,IGHJ4,IGHG1,IGLV6-57,IGLJ2,20.0,9.0,0.0532,0.0272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3006,BA.5 + XBB infection,specific,4.46,N.D.,4.9,N.D.,IGHV3-33,IGHD6-19,IGHJ4,IGHG1,IGLV6-57,IGLJ3,24.0,10.0,0.0665,0.0302,inf,inf,inf,inf,inf,inf,0.3153,0.1401,0.3711,0.907,0.5721,0.2267,0.1775,F1.2
BD57-3007,BA.5 + XBB infection,cross,4.73,N.D.,5.07,N.D.,IGHV1-3,IGHD5-12,IGHJ4,IGHG1,IGLV6-57,IGLJ2,14.0,6.0,0.0394,0.0181,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3008,BA.5 + XBB infection,cross,4.42,N.D.,4.98,N.D.,IGHV3-53,IGHD6-13,IGHJ5,IGHG1,IGLV6-57,IGLJ1,15.0,7.0,0.0423,0.021,1.0931,inf,inf,2.5874,2.185,1.5995,0.3042,0.4491,0.6193,1.4186,0.852,0.7808,0.5936,F1.2
BD57-3009,BA.5 + XBB infection,cross,4.44,N.D.,3.39,N.D.,IGHV3-33,IGHD5-18,IGHJ4,IGHG1,IGLV6-57,IGLJ2,10.0,7.0,0.027,0.0211,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3010,BA.5 + XBB infection,specific,0.37,N.D.,4.58,N.D.,IGHV1-18,IGHD3-9,IGHJ1,IGHG1,IGLV6-57,IGLJ3,12.0,3.0,0.0337,0.0091,inf,inf,1.3235,1.2313,0.7231,0.8733,0.306,0.1799,0.3278,0.3685,0.3907,0.1636,0.1578,F1.2
BD57-3011,BA.5 + XBB infection,cross,4.59,N.D.,3.88,N.D.,IGHV4-34,IGHD3-10,IGHJ5,IGHG1,IGLV6-57,IGLJ3,10.0,4.0,0.0279,0.012,2.2839,1.653,0.5981,3.2694,2.6994,1.597,0.533,0.4569,0.2866,0.7451,0.394,0.2729,0.3024,F1.2
BD57-3012,BA.5 + XBB infection,specific,2.38,4.58,4.27,N.D.,IGHV1-18,IGHD2/OR15-2a,IGHJ5,IGHG1,IGLV6-57,IGLJ2,13.0,6.0,0.0363,0.0183,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3013,BA.5 + XBB infection,specific,0.73,5.44,3.75,N.D.,IGHV3-30,IGHD5-12,IGHJ4,IGHG1,IGLV6-57,IGLJ3,14.0,6.0,0.0381,0.0181,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3014,BA.5 + XBB infection,specific,1.6,N.D.,4.37,N.D.,IGHV3-30,IGHD5-18,IGHJ4,IGHG1,IGLV6-57,IGLJ3,10.0,7.0,0.0275,0.0211,inf,inf,4.1779,0.888,inf,inf,0.2326,0.1403,0.3072,0.2529,0.4794,0.2281,0.2158,F1.2
BD57-3015,BA.5 + XBB infection,specific,0.4,N.D.,4.14,N.D.,IGHV3-7,IGHD3-10,IGHJ4,IGHG1,IGLV6-57,IGLJ3,15.0,9.0,0.0423,0.0272,inf,inf,0.5445,0.908,inf,inf,0.1267,0.08849,0.2563,0.4534,0.4271,0.3333,0.2982,F1.2
BD57-3016,BA.5 + XBB infection,specific,0.14,N.D.,3.92,N.D.,IGHV3-66,IGHD3-10,IGHJ3,IGHG1,IGLV6-57,IGLJ3,9.0,4.0,0.0243,0.0121,inf,inf,inf,1.0623,0.5431,0.2919,0.1514,0.1382,0.2247,0.3117,0.3546,0.01747,0.02246,F1.2
BD57-3017,BA.5 + XBB infection,specific,0.13,1.87,0.94,N.D.,IGHV3-74,IGHD2-21,IGHJ4,IGHG1,IGLV6-57,IGLJ3,8.0,9.0,0.0214,0.0272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,F1.2
BD57-3018,BA.5 + XBB infection,specific,0.5,N.D.,4.31,N.D.,IGHV3-30,IGHD3-10,IGHJ5,IGHG1,IGLV6-57,IGLJ3,18.0,10.0,0.0507,0.0299,inf,inf,inf,inf,inf,inf,0.5809,0.2827,0.6231,1.0318,1.0194,0.4243,0.4673,F1.2
BD57-3019,BA.5 + XBB infection,specific,0.099,N.D.,4.06,N.D.,IGHV1-69,IGHD5-24,IGHJ6,IGHG1,IGLV5-45,IGLJ3,15.0,8.0,0.0403,0.0231,inf,inf,inf,0.01386,0.1142,0.07745,0.02161,0.03652,0.09318,0.1093,0.0463,1.1811,1.2172,B
BD57-3020,BA.5 + XBB infection,specific,0.068,N.D.,2.83,N.D.,IGHV3-13,IGHD6-19,IGHJ6,IGHA1,IGLV9-49,IGLJ1,27.0,22.0,0.0732,0.0634,inf,inf,4.506,0.08854,0.2015,0.1719,0.0857,0.2292,1.2283,0.7513,3.1109,1.705,inf,B
BD57-3021,BA.5 + XBB infection,specific,0.12,N.D.,3.7,N.D.,IGHV3-33,IGHD3-10,IGHJ4,IGHG1,IGLV9-49,IGLJ2,12.0,4.0,0.0335,0.0115,inf,0.06666,0.04692,0.04155,0.2179,0.1137,0.2184,0.184,0.5829,0.3494,inf,0.1933,inf,B
BD57-3022,BA.5 + XBB infection,cross,4.48,N.D.,4.47,N.D.,IGHV3-15,IGHD2-15,IGHJ4,IGHG1,IGLV9-49,IGLJ1,19.0,7.0,0.0494,0.0201,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3023,BA.5 + XBB infection,specific,0.25,N.D.,2.99,N.D.,IGHV3-13,IGHD3-9,IGHJ6,IGHG1,IGLV9-49,IGLJ1,17.0,11.0,0.0444,0.0316,inf,inf,0.1789,0.1378,0.3932,0.2656,0.1211,0.06424,0.1755,0.1171,0.4286,0.3144,0.7615,B
BD57-3024,BA.5 + XBB infection,specific,0.17,N.D.,4.52,N.D.,IGHV3-13,IGHD3-9,IGHJ6,IGHG1,IGLV9-49,IGLJ1,16.0,7.0,0.0418,0.0201,inf,0.0894,0.0692,0.01361,0.01455,0.01671,0.005558,0.004694,0.005351,0.01071,0.00579,0.003626,0.002529,B
BD57-3025,BA.5 + XBB infection,specific,0.4,N.D.,2.36,N.D.,IGHV3-13,IGHD3-3,IGHJ3,IGHG1,IGLV9-49,IGLJ3,15.0,8.0,0.0437,0.0229,inf,inf,inf,0.1578,0.4021,0.9285,0.2382,0.4758,0.4753,0.2539,inf,0.4199,inf,B
BD57-3026,BA.5 + XBB infection,cross,4.27,N.D.,4.19,N.D.,IGHV3-64,IGHD3-16,IGHJ6,IGHG1,IGLV9-49,IGLJ2,26.0,5.0,0.0741,0.0143,0.3643,0.01009,0.009587,0.04651,0.1088,0.1054,0.04628,0.03223,0.03679,0.05369,0.06196,0.01272,0.1082,B
BD57-3027,BA.5 + XBB infection,specific,0.92,N.D.,3.25,N.D.,IGHV3-13,IGHD3-10,IGHJ6,IGHG1,IGLV9-49,IGLJ2,14.0,13.0,0.0406,0.0374,inf,0.4686,inf,0.1564,0.461,inf,inf,inf,inf,inf,inf,inf,inf,B
BD57-3028,BA.5 + XBB infection,specific,3.77,N.D.,3.55,N.D.,IGHV3-48,IGHD3-10,IGHJ5,IGHG1,IGLV9-49,IGLJ2,4.0,1.0,0.0106,0.0029,inf,0.007918,0.01365,0.02481,0.1286,1.1505,0.1193,5.2679,inf,inf,inf,inf,inf,B
BD57-3029,BA.5 + XBB infection,specific,0.12,N.D.,2.28,N.D.,IGHV3-13,IGHD2-2,IGHJ6,IGHG1,IGLV9-49,IGLJ1,2.0,3.0,0.0052,0.0086,inf,inf,inf,0.2973,0.5998,0.301,0.8334,0.7012,inf,inf,inf,inf,inf,B
BD57-3030,BA.5 + XBB infection,specific,0.43,N.D.,2.93,N.D.,IGHV3-33,IGHD3-10,IGHJ4,IGHG1,IGLV9-49,IGLJ3,10.0,7.0,0.0282,0.0201,inf,0.1887,3.0721,0.4878,0.833,0.5386,inf,inf,inf,inf,inf,inf,inf,B
BD57-3031,BA.5 + XBB infection,specific,0.88,N.D.,4.46,N.D.,IGHV4-39,IGHD6-6,IGHJ5,IGHG1,IGLV9-49,IGLJ3,13.0,2.0,0.0354,0.0058,inf,0.008229,0.0146,0.01556,0.04093,0.02162,0.03109,0.05183,0.2707,0.1514,inf,0.2747,inf,B
BD57-3032,BA.5 + XBB infection,specific,4.35,N.D.,4.11,N.D.,IGHV1-69,IGHD4-17,IGHJ4,IGHG1,IGLV4-60,IGLJ3,17.0,9.0,0.0452,0.0269,inf,inf,inf,inf,inf,inf,0.2751,0.2087,0.3019,0.391,0.3991,0.238,0.2026,F1.2
BD57-3033,BA.5 + XBB infection,specific,0.42,N.D.,3.54,N.D.,IGHV3-9,IGHD1-26,IGHJ6,IGHG1,IGLV2-23,IGLJ2,13.0,28.0,0.0339,0.0843,inf,inf,inf,0.01666,0.02957,0.02023,0.01112,inf,inf,inf,inf,inf,inf,F3
BD57-3034,BA.5 + XBB infection,specific,1.3,N.D.,3.43,N.D.,IGHV3-30,IGHD2-2,IGHJ6,IGHG1,IGLV2-14,IGLJ1,16.0,16.0,0.042,0.0479,inf,inf,inf,0.3597,0.4994,inf,0.2161,inf,inf,inf,inf,inf,inf,N.D.
BD57-3035,BA.5 + XBB infection,cross,4.52,N.D.,3.13,N.D.,IGHV4-39,IGHD3-10,IGHJ4,IGHG1,IGLV2-23,IGLJ3,8.0,9.0,0.0216,0.0272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3036,BA.5 + XBB infection,cross,4.14,N.D.,4.71,N.D.,IGHV3-48,IGHD3-16,IGHJ4,IGHG1,IGLV2-14,IGLJ2,4.0,11.0,0.0104,0.0329,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E1/E2.1
BD57-3037,BA.5 + XBB infection,specific,0.93,N.D.,4.26,N.D.,IGHV3-33,IGHD4-17,IGHJ3,IGHG1,IGLV2-14,IGLJ1,11.0,13.0,0.0293,0.0396,inf,0.01575,0.006087,0.01124,0.05028,0.02162,0.003978,0.007549,0.007765,0.01935,0.007464,0.01829,0.04297,F3
BD57-3038,BA.5 + XBB infection,specific,0.48,N.D.,4.37,N.D.,IGHV2-5,IGHD1-1,IGHJ4,IGHG1,IGLV2-14,IGLJ1,9.0,8.0,0.0241,0.0242,inf,inf,0.01151,0.01031,0.1064,0.0484,0.01408,0.01607,0.01751,0.01656,0.01252,0.01773,0.07754,F3
BD57-3039,BA.5 + XBB infection,cross,4.33,N.D.,4.64,N.D.,IGHV1-46,IGHD3-22,IGHJ4,IGHG1,IGLV2-14,IGLJ3,23.0,22.0,0.0618,0.0665,0.9533,0.2423,0.3387,1.4365,1.3456,1.2915,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3040,BA.5 + XBB infection,specific,0.57,N.D.,3.66,N.D.,IGHV3-33,IGHD4-17,IGHJ3,IGHG1,IGLV2-14,IGLJ1,11.0,11.0,0.0293,0.0335,inf,0.2357,0.06088,0.04166,0.2612,0.08153,0.04122,0.03015,0.4349,0.2348,0.4782,0.5562,inf,F3
BD57-3041,BA.5 + XBB infection,specific,0.87,N.D.,4.39,N.D.,IGHV1-8,IGHD4-23,IGHJ4,IGHA1,IGLV2-14,IGLJ3,14.0,16.0,0.0378,0.0483,inf,0.001202,0.003208,0.003427,0.01654,0.009873,0.1456,0.04715,0.1003,0.1055,0.1031,0.09108,0.09867,D3
BD57-3042,BA.5 + XBB infection,cross,4.85,N.D.,4.34,N.D.,IGHV1-2,IGHD2-2,IGHJ4,IGHG1,IGLV2-14,IGLJ2,17.0,12.0,0.0435,0.0363,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3043,BA.5 + XBB infection,cross,4.44,N.D.,4.37,N.D.,IGHV1-46,IGHD1-1,IGHJ4,IGHG1,IGLV2-14,IGLJ3,11.0,14.0,0.0295,0.0423,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3044,BA.5 + XBB infection,specific,0.059,N.D.,4.27,N.D.,IGHV1-8,IGHD6-13,IGHJ4,IGHG1,IGLV2-14,IGLJ2,3.0,5.0,0.008,0.0148,inf,0.001855,0.001698,0.002472,0.01878,0.03926,0.04928,0.04986,0.07456,0.09198,0.08312,0.06897,0.06276,D3
BD57-3045,BA.5 + XBB infection,specific,1.03,N.D.,4.51,N.D.,IGHV1-8,IGHD4-23,IGHJ4,IGHA1,IGLV2-14,IGLJ3,18.0,17.0,0.0486,0.0514,inf,0.002277,0.002898,0.006095,0.008178,0.009586,0.721,0.3892,0.4081,0.2775,0.5498,0.6567,0.3728,D4
BD57-3046,BA.5 + XBB infection,specific,0.48,N.D.,3.7,N.D.,IGHV3-30,IGHD6-19,IGHJ4,IGHG1,IGLV2-14,IGLJ1,16.0,18.0,0.0443,0.0536,inf,inf,0.05082,0.06596,0.1902,0.09889,0.06975,0.1001,0.4476,0.2005,0.397,0.08392,0.2279,F3
BD57-3047,BA.5 + XBB infection,specific,0.18,N.D.,4.51,N.D.,IGHV3-30,IGHD5-12,IGHJ6,IGHG1,IGLV2-14,IGLJ1,8.0,6.0,0.0215,0.0181,inf,inf,0.04888,0.0159,0.06199,0.1521,1.812,inf,inf,inf,inf,inf,inf,F3
BD57-3048,BA.5 + XBB infection,cross,4.33,N.D.,4.22,N.D.,IGHV4-39,IGHD3-22,IGHJ6,IGHG1,IGLV2-14,IGLJ1,9.0,14.0,0.0229,0.0423,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3049,BA.5 + XBB infection,specific,0.29,N.D.,4.31,N.D.,IGHV1-8,IGHD3-22,IGHJ5,IGHG1,IGLV2-23,IGLJ3,10.0,4.0,0.0268,0.0123,inf,0.0001663,0.001949,0.002312,0.004618,0.002471,0.01091,0.003985,0.004657,0.01377,0.009031,0.005747,0.01542,D4
BD57-3050,BA.5 + XBB infection,cross,4.45,N.D.,4.05,N.D.,IGHV4-39,IGHD2-21,IGHJ4,IGHG1,IGLV2-23,IGLJ2,20.0,8.0,0.0545,0.0242,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3051,BA.5 + XBB infection,cross,4.35,N.D.,4.34,N.D.,IGHV4-39,IGHD3-22,IGHJ4,IGHG1,IGLV2-23,IGLJ2,9.0,6.0,0.0234,0.0183,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3052,BA.5 + XBB infection,cross,4.54,N.D.,4.59,N.D.,IGHV5-51,IGHD4-17,IGHJ4,IGHG1,IGLV2-23,IGLJ2,10.0,10.0,0.0277,0.0299,2.3311,1.1686,2.0192,1.3934,1.1563,0.9161,0.5242,0.6684,0.9413,0.51,0.7831,1.091,1.201,E3
BD57-3053,BA.5 + XBB infection,cross,4.56,N.D.,4.33,N.D.,IGHV3-9,IGHD3-10,IGHJ4,IGHA1,IGLV2-14,IGLJ2,11.0,17.0,0.03,0.0509,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E2.2
BD57-3054,BA.5 + XBB infection,specific,0.16,N.D.,4.31,N.D.,IGHV2-5,IGHD6-13,IGHJ5,IGHG1,IGLV2-14,IGLJ2,11.0,10.0,0.0293,0.0299,inf,0.35,0.02761,0.01648,0.3603,0.1725,0.2605,4.4877,inf,inf,inf,inf,inf,F3
BD57-3055,BA.5 + XBB infection,specific,1.16,0.45,2.79,N.D.,IGHV3-30,IGHD5-12,IGHJ6,IGHA1,IGLV2-14,IGLJ1,14.0,6.0,0.0376,0.0181,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.
BD57-3056,BA.5 + XBB infection,specific,0.19,N.D.,4.51,N.D.,IGHV1-8,IGHD3-22,IGHJ3,IGHG1,IGLV2-8,IGLJ3,6.0,5.0,0.0162,0.0154,inf,0.002538,0.002662,0.006661,0.02606,0.005624,1.4031,0.3524,0.2141,0.1701,0.6144,0.4798,0.2264,D4
BD57-3057,BA.5 + XBB infection,cross,4.09,N.D.,4.2,N.D.,IGHV3-48,IGHD3-10,IGHJ4,IGHG1,IGLV2-8,IGLJ2,6.0,3.0,0.0163,0.0091,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3058,BA.5 + XBB infection,cross,4.58,N.D.,4.61,N.D.,IGHV4-39,IGHD3-16,IGHJ4,IGHG1,IGLV2-8,IGLJ1,10.0,2.0,0.0272,0.0062,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3059,BA.5 + XBB infection,specific,0.43,N.D.,4.59,N.D.,IGHV4-59,IGHD4-17,IGHJ6,IGHG1,IGLV2-18,IGLJ1,14.0,7.0,0.0389,0.0213,inf,0.01756,0.001113,0.003132,0.00659,0.003776,0.0404,3.5314,inf,inf,inf,inf,inf,A2
BD57-3060,BA.5 + XBB infection,specific,0.28,N.D.,4.66,N.D.,IGHV4-59,IGHD4-17,IGHJ6,IGHG1,IGLV2-18,IGLJ1,18.0,6.0,0.05,0.0183,inf,0.03867,0.002381,0.005556,0.01742,0.008488,0.03635,inf,inf,inf,inf,inf,inf,A2
BD57-3061,BA.5 + XBB infection,cross,4.55,N.D.,4.12,N.D.,IGHV4-39,IGHD3-10,IGHJ4,IGHG1,IGLV2-11,IGLJ1,15.0,7.0,0.0402,0.0215,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3062,BA.5 + XBB infection,cross,4.56,N.D.,4.26,N.D.,IGHV4-39,IGHD3-10,IGHJ5,IGHG1,IGLV2-11,IGLJ2,16.0,7.0,0.0426,0.0213,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3063,BA.5 + XBB infection,cross,4.56,N.D.,4.0,N.D.,IGHV3-11,IGHD3-10,IGHJ6,IGHG1,IGLV2-11,IGLJ2,3.0,5.0,0.0081,0.0152,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3064,BA.5 + XBB infection,cross,3.98,N.D.,4.96,N.D.,IGHV3-9,IGHD1-20,IGHJ4,IGHG1,IGLV2-11,IGLJ1,9.0,9.0,0.0245,0.0277,0.0116,0.00087,0.0009783,0.006161,0.01633,0.2917,0.005139,0.01191,0.0426,0.02803,0.02129,1.5338,0.08857,A2
BD57-3065,BA.5 + XBB infection,cross,3.96,N.D.,3.1,N.D.,IGHV3-30,IGHD6-19,IGHJ6,IGHG1,IGLV1-40,IGLJ3,22.0,9.0,0.0587,0.0269,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3066,BA.5 + XBB infection,cross,4.8,N.D.,3.0,N.D.,IGHV2-5,IGHD2-15,IGHJ4,IGHG1,IGLV1-47,IGLJ3,11.0,14.0,0.0305,0.0423,0.02988,0.001844,0.0005678,0.001698,0.05683,0.04941,1.2586,0.585,1.4735,1.1394,1.2415,inf,inf,D3
BD57-3067,BA.5 + XBB infection,cross,4.35,N.D.,4.52,N.D.,IGHV5-51,IGHD3-10,IGHJ6,IGHG1,IGLV1-44,IGLJ3,7.0,15.0,0.0193,0.0455,1.2561,0.2569,0.7518,1.0035,1.3436,0.7522,0.2044,0.1499,0.2375,0.1674,0.2648,0.1164,0.09573,E3
BD57-3068,BA.5 + XBB infection,cross,4.56,N.D.,4.69,N.D.,IGHV5-51,IGHD1-14,IGHJ5,IGHG1,IGLV1-44,IGLJ2,10.0,7.0,0.0279,0.0211,2.313,0.426,1.0684,0.4799,1.2952,1.3091,0.6359,0.6563,0.9791,0.5941,0.664,0.3496,0.3367,E3
BD57-3069,BA.5 + XBB infection,specific,0.32,N.D.,4.26,N.D.,IGHV3-30,IGHD6-19,IGHJ5,IGHA1,IGLV1-47,IGLJ2,14.0,8.0,0.0369,0.024,inf,inf,0.001648,0.003496,0.01773,0.001991,0.003813,0.002517,0.001472,0.002531,0.0006224,0.001735,0.002574,F3
BD57-3070,BA.5 + XBB infection,cross,4.47,N.D.,4.75,N.D.,IGHV5-51,IGHD6-13,IGHJ4,IGHG1,IGLV1-44,IGLJ2,23.0,10.0,0.065,0.0302,0.8915,0.5001,0.6157,0.8836,1.1303,0.4818,0.2295,0.124,0.2649,0.2328,0.3523,0.1057,0.1276,E3
BD57-3071,BA.5 + XBB infection,specific,0.39,N.D.,4.45,N.D.,IGHV3-11,IGHD3-9,IGHJ5,IGHG1,IGLV1-47,IGLJ2,7.0,4.0,0.0189,0.0121,inf,0.01054,0.005723,0.007638,0.02627,0.009576,0.01706,0.04348,inf,inf,inf,2.4231,inf,F3
BD57-3072,BA.5 + XBB infection,cross,4.3,N.D.,4.71,N.D.,IGHV5-51,IGHD1-26,IGHJ5,IGHG1,IGLV1-44,IGLJ2,13.0,7.0,0.036,0.0211,1.6052,0.533,1.92,1.5685,1.0506,1.3839,0.5059,0.2592,0.5205,0.4493,0.6525,0.3633,0.256,E3
BD57-3073,BA.5 + XBB infection,cross,4.54,N.D.,4.1,N.D.,IGHV5-51,IGHD3-10,IGHJ4,IGHG1,IGLV1-44,IGLJ2,5.0,1.0,0.0137,0.003,1.1771,0.3025,0.4389,0.6961,0.6864,0.6293,0.1988,0.2322,0.126,0.1004,0.6268,0.2277,0.2405,E3
BD57-3074,BA.5 + XBB infection,cross,4.4,N.D.,4.71,N.D.,IGHV2-5,IGHD3-10,IGHJ5,IGHG1,IGLV1-44,IGLJ3,6.0,2.0,0.016,0.006,3.0798,2.1895,3.0111,3.644,1.9529,3.1922,1.1594,1.2072,2.4486,1.8159,1.8249,0.8155,1.0299,E3
BD57-3075,BA.5 + XBB infection,cross,4.74,N.D.,4.38,N.D.,IGHV5-51,IGHD1-14,IGHJ5,IGHG1,IGLV1-44,IGLJ3,13.0,6.0,0.0363,0.0181,1.4005,0.8269,1.3852,1.0009,1.0504,1.0707,0.3993,0.6346,0.8161,0.3544,0.7875,0.5822,0.5078,E3
BD57-3076,BA.5 + XBB infection,cross,4.52,N.D.,5.96,N.D.,IGHV2-5,IGHD3-10,IGHJ5,IGHG1,IGLV1-44,IGLJ3,17.0,9.0,0.0452,0.0272,2.6894,3.8276,2.101,1.6976,1.7475,inf,0.9366,1.358,1.3608,1.9393,0.5516,0.765,0.9167,E3
BD57-3077,BA.5 + XBB infection,specific,0.083,N.D.,4.81,N.D.,IGHV4-39,IGHD6-13,IGHJ4,IGHG1,IGLV1-47,IGLJ3,14.0,6.0,0.0372,0.0178,inf,0.002217,0.0006632,0.0004647,0.004806,0.002608,0.004869,0.002178,0.003836,0.01004,0.007167,0.07824,0.1449,F3
BD57-3078,BA.5 + XBB infection,cross,4.25,N.D.,4.4,N.D.,IGHV3-21,IGHD6-13,IGHJ4,IGHG1,IGLV1-44,IGLJ3,9.0,8.0,0.0245,0.0242,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,E3
BD57-3079,BA.5 + XBB infection,cross,4.17,N.D.,4.25,N.D.,IGHV2-5,IGHD3-9,IGHJ4,IGHG1,IGLV1-44,IGLJ2,8.0,11.0,0.0202,0.033,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,N.D.
BD57-3080,BA.5 + XBB infection,specific,0.81,N.D.,4.9,N.D.,IGHV3-30,IGHD6-19,IGHJ5,IGHG1,IGLV1-47,IGLJ2,14.0,5.0,0.0369,0.015,inf,2.1977,0.00427,0.00297,0.001489,0.002378,0.00736,0.00131,0.003718,0.008409,0.004614,0.001756,0.001854,F3
BD57-3081,BA.5 + XBB infection,cross,4.6,N.D.,4.59,N.D.,IGHV5-51,IGHD3-9,IGHJ3,IGHG1,IGLV1-44,IGLJ3,11.0,9.0,0.031,0.0272,inf,1.3142,2.0013,0.8249,inf,inf,0.6827,0.3042,0.3879,2.0216,0.511,1.4401,1.1262,E3
BD57-3082,BA.5 + XBB infection,specific,0.3,N.D.,4.59,N.D.,IGHV3-30,IGHD5-24,IGHJ4,IGHG1,IGLV1-51,IGLJ3,9.0,7.0,0.0239,0.0211,inf,0.002638,0.001561,0.0009435,0.00173,0.003802,0.003177,0.001495,0.01068,0.006562,1.8761,0.00779,inf,B
BD57-3083,BA.5 + XBB infection,specific,0.26,N.D.,4.69,N.D.,IGHV4-39,IGHD3-10,IGHJ6,IGHG1,IGLV1-51,IGLJ3,26.0,4.0,0.0672,0.012,inf,0.2202,0.01928,0.009197,0.02945,0.01034,0.02861,0.008104,0.0157,0.01959,0.01972,0.0261,0.166,F3
BD57-3084,BA.5 + XBB infection,specific,0.39,N.D.,4.53,N.D.,IGHV4-39,IGHD3-10,IGHJ6,IGHG1,IGLV1-51,IGLJ3,14.0,7.0,0.0362,0.021,inf,0.05503,0.01712,0.006387,0.02111,0.00843,0.02176,0.008125,0.009788,0.03655,0.02042,0.01832,0.1008,F3
BD57-3085,BA.5 + XBB infection,specific,0.42,N.D.,4.01,N.D.,IGHV3-43,IGHD3/OR15-3a,IGHJ4,IGHG1,IGLV1-36,IGLJ3,18.0,4.0,0.0479,0.0121,inf,0.002427,0.00376,0.02297,0.04155,0.02185,0.004736,0.004423,0.003267,0.01478,0.004394,0.02267,0.12,D3
BD57-3086,BA.5 + XBB infection,specific,0.039,N.D.,0.42,N.D.,IGHV3-43,IGHD3-9,IGHJ4,IGHG1,IGLV1-36,IGLJ3,5.0,5.0,0.0133,0.0151,inf,0.001385,0.0005405,0.3389,0.2546,inf,0.002726,0.001156,0.005786,0.01639,0.007539,0.06054,0.217,D3
BD57-3087,BA.5 + XBB infection,specific,3.1,N.D.,4.6,N.D.,IGHV2-70,IGHD3-10,IGHJ5,IGHG1,IGLV1-40,IGLJ3,3.0,10.0,0.0083,0.0299,inf,0.01906,0.007577,0.003024,0.01187,0.01621,0.006716,0.009166,0.005442,0.004698,0.01273,inf,inf,A2
BD57-3088,BA.5 + XBB infection,specific,0.3,N.D.,3.11,N.D.,IGHV3-53,IGHD1-14,IGHJ4,IGHG1,IGLV1-40,IGLJ3,18.0,6.0,0.0486,0.0181,inf,0.002895,0.00416,0.01139,0.04565,0.03745,0.08608,inf,inf,inf,inf,inf,inf,D4
